name,market,popularity
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,RW,91
Stargirl Interlude,RW,87
Die For You (with Ariana Grande) - Remix,RW,83
Save Your Tears,RW,88
Reminder,RW,88
Starboy,SA,93
Die For You,SA,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",SA,93
Blinding Lights,SA,91
Creepin' (with The Weeknd & 21 Savage),SA,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,SA,91
Stargirl Interlude,SA,87
Die For You (with Ariana Grande) - Remix,SA,83
Save Your Tears,SA,88
Reminder,SA,88
Starboy,SB,93
Die For You,SB,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",SB,93
Blinding Lights,SB,91
Creepin' (with The Weeknd & 21 Savage),SB,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,SB,91
Stargirl Interlude,SB,87
Die For You (with Ariana Grande) - Remix,SB,83
Save Your Tears,SB,88
Reminder,SB,88
Starboy,SC,93
Die For You,SC,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",SC,93
Blinding Lights,SC,91
Creepin' (with The Weeknd & 21 Savage),SC,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,SC,91
Stargirl Interlude,SC,87
Die For You (with Ariana Grande) - Remix,SC,83
Save Your Tears,SC,88
Reminder,SC,88
Starboy,SE,93
Die For You,SE,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",SE,93
Blinding Lights,SE,91
Creepin' (with The Weeknd & 21 Savage),SE,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,SE,91
Stargirl Interlude,SE,87
Die For You (with Ariana Grande) - Remix,SE,83
Save Your Tears,SE,88
Reminder,SE,88
Starboy,SG,93
Die For You,SG,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",SG,93
Blinding Lights,SG,91
Creepin' (with The Weeknd & 21 Savage),SG,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,SG,91
Stargirl Interlude,SG,87
Die For You (with Ariana Grande) - Remix,SG,83
Save Your Tears,SG,88
Reminder,SG,88
Starboy,SI,93
Die For You,SI,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",SI,93
Blinding Lights,SI,91
Creepin' (with The Weeknd & 21 Savage),SI,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,SI,91
Stargirl Interlude,SI,87
Die For You (with Ariana Grande) - Remix,SI,83
Save Your Tears,SI,88
Reminder,SI,88
Starboy,SK,93
Die For You,SK,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",SK,93
Blinding Lights,SK,91
Creepin' (with The Weeknd & 21 Savage),SK,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,SK,91
Stargirl Interlude,SK,87
Die For You (with Ariana Grande) - Remix,SK,83
Save Your Tears,SK,88
Reminder,SK,88
Starboy,SL,93
Die For You,SL,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",SL,93
Blinding Lights,SL,91
Creepin' (with The Weeknd & 21 Savage),SL,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,SL,91
Stargirl Interlude,SL,87
Die For You (with Ariana Grande) - Remix,SL,83
Save Your Tears,SL,88
Reminder,SL,88
Starboy,SM,93
Die For You,SM,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",SM,93
Blinding Lights,SM,91
Creepin' (with The Weeknd & 21 Savage),SM,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,SM,91
Stargirl Interlude,SM,87
Die For You (with Ariana Grande) - Remix,SM,83
Save Your Tears,SM,88
Reminder,SM,88
Starboy,SN,93
Die For You,SN,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",SN,93
Blinding Lights,SN,91
Creepin' (with The Weeknd & 21 Savage),SN,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,SN,91
Stargirl Interlude,SN,87
Die For You (with Ariana Grande) - Remix,SN,83
Save Your Tears,SN,88
Reminder,SN,88
Starboy,SR,93
Die For You,SR,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",SR,93
Blinding Lights,SR,91
Creepin' (with The Weeknd & 21 Savage),SR,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,SR,91
Stargirl Interlude,SR,87
Die For You (with Ariana Grande) - Remix,SR,83
Save Your Tears,SR,88
Reminder,SR,88
Starboy,ST,93
Die For You,ST,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",ST,93
Blinding Lights,ST,91
Creepin' (with The Weeknd & 21 Savage),ST,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,ST,91
Stargirl Interlude,ST,87
Die For You (with Ariana Grande) - Remix,ST,83
Save Your Tears,ST,88
Reminder,ST,88
Starboy,SV,93
Die For You,SV,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",SV,93
Blinding Lights,SV,91
Creepin' (with The Weeknd & 21 Savage),SV,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,SV,91
Stargirl Interlude,SV,87
Die For You (with Ariana Grande) - Remix,SV,83
Save Your Tears,SV,88
Reminder,SV,88
Starboy,SZ,93
Die For You,SZ,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",SZ,93
Blinding Lights,SZ,91
Creepin' (with The Weeknd & 21 Savage),SZ,91
