total_tracks,id,market,popularity
31.0,1OARrXe5sB0gyy3MhQ8h92,BJ,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,BJ,64.0
24.0,12INlMsFtBjyehNnawBv36,BJ,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,BJ,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,BJ,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,BJ,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,BJ,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,BJ,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,BJ,65.0
30.0,2XGEyGU76kj55OdHWynX0S,BJ,64.0
9.0,04hy4jb1GDD00otiwzsFUB,BJ,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,BJ,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,BJ,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,BN,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,BN,64.0
24.0,12INlMsFtBjyehNnawBv36,BN,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,BN,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,BN,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,BN,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,BN,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,BN,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,BN,65.0
30.0,2XGEyGU76kj55OdHWynX0S,BN,64.0
9.0,04hy4jb1GDD00otiwzsFUB,BN,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,BN,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,BN,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,BO,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,BO,64.0
24.0,12INlMsFtBjyehNnawBv36,BO,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,BO,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,BO,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,BO,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,BO,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,BO,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,BO,65.0
30.0,2XGEyGU76kj55OdHWynX0S,BO,64.0
9.0,04hy4jb1GDD00otiwzsFUB,BO,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,BO,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,BO,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,BR,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,BR,64.0
24.0,12INlMsFtBjyehNnawBv36,BR,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,BR,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,BR,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,BR,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,BR,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,BR,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,BR,65.0
30.0,2XGEyGU76kj55OdHWynX0S,BR,64.0
9.0,04hy4jb1GDD00otiwzsFUB,BR,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,BR,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,BR,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,BS,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,BS,64.0
24.0,12INlMsFtBjyehNnawBv36,BS,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,BS,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,BS,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,BS,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,BS,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,BS,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,BS,65.0
30.0,2XGEyGU76kj55OdHWynX0S,BS,64.0
9.0,04hy4jb1GDD00otiwzsFUB,BS,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,BS,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,BS,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,BT,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,BT,64.0
24.0,12INlMsFtBjyehNnawBv36,BT,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,BT,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,BT,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,BT,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,BT,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,BT,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,BT,65.0
30.0,2XGEyGU76kj55OdHWynX0S,BT,64.0
9.0,04hy4jb1GDD00otiwzsFUB,BT,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,BT,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,BT,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,BW,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,BW,64.0
24.0,12INlMsFtBjyehNnawBv36,BW,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,BW,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,BW,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,BW,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,BW,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,BW,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,BW,65.0
30.0,2XGEyGU76kj55OdHWynX0S,BW,64.0
9.0,04hy4jb1GDD00otiwzsFUB,BW,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,BW,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,BW,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,BY,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,BY,64.0
24.0,12INlMsFtBjyehNnawBv36,BY,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,BY,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,BY,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,BY,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,BY,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,BY,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,BY,65.0
30.0,2XGEyGU76kj55OdHWynX0S,BY,64.0
9.0,04hy4jb1GDD00otiwzsFUB,BY,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,BY,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,BY,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,BZ,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,BZ,64.0
24.0,12INlMsFtBjyehNnawBv36,BZ,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,BZ,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,BZ,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,BZ,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,BZ,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,BZ,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,BZ,65.0
30.0,2XGEyGU76kj55OdHWynX0S,BZ,64.0
9.0,04hy4jb1GDD00otiwzsFUB,BZ,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,BZ,63.0
